case,wind_m_s,tide_amplitude_m,external_low_clock,wind_calm_clock,first_route_clock,route_local_depth_min_clock,route_local_rewet_2cm_clock,simultaneous_parallel_route_loss_clock,first_half_width_collapse_clock,all_segments_closed_clock,parallel_window_h,current_cycle_rising_tide_wind_tilt_overlap_h,max_pre_calm_west_minus_east_head_m,max_pre_calm_surface_head_span_m,max_pre_calm_tilt_energy_j,west_storage_gain_at_calm_m3,sill_flux_at_calm_m3_s,sea_minus_lagoon_head_at_calm_m,cumulative_boundary_inflow_at_calm_m3,post_calm_peak_route_speed_p95_m_s,post_calm_peak_route_speed_max_m_s,post_calm_peak_route_hu_p95_m2_s,post_calm_peak_route_hu_max_m2_s,post_calm_peak_depth_rise_cm_min,post_calm_peak_width_loss_m_min,post_calm_width_loss_fraction,post_calm_complete_lane_drop,rewet_to_route_loss_h,alarm_proxy,tide_phase_status,central_mixed_n_max_safe_by_0530,central_first_entry_clock,central_last_exit_clock
combined_reference,19.0,0.15,03:30,04:30,01:00,05:00,05:40,03:40,05:30,05:40,2.666666666666666,0.5,0.8451205827253443,1.1687845548381834,272421900666.9721,39516732.04811004,-0.0006003640552582607,0.031276057412915115,2545536.7543677427,0.11454836917466223,0.11960977371320822,0.03115686141550869,0.0333010597565218,0.08810793436459273,6.500000000000023,1.0,0,-2.0,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,32400.0,01:00,05:20
wind_only_control,19.0,0.0,03:30,04:30,,01:50,03:10,,02:40,02:40,0.0,0.0,0.8959822294572523,1.1926559322417596,306458428354.80835,38474661.432317555,2.755005615153316,-0.04695732981656511,-2234354.226038328,0.16932282324320655,0.17241259912174225,0.07114453024145401,0.07389494215185496,0.0911093344513253,0.0,1.0,0,,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,0.0,,
tide_only_control,0.0,0.15,03:30,04:30,,22:00,,,,,0.0,0.0,0.0013951679032344622,0.0026324861699768554,1432733.8123483139,363957.3938797116,0.0,0.02667877375583594,1721088.688591876,0.004311079997279195,0.004359270979583453,0.0018434839687863764,0.001947670219866562,0.0006189461457184486,0.0,0.0,0,,weak_or_unresolved_return,sensitivity_clock_not_ancient_prediction,0.0,,
phase_w19.0_low02.5_stop03.5,19.0,0.15,02:30,04:00,01:10,04:10,05:00,02:10,04:20,04:20,0.9998486642840803,1.0,0.8670905804021904,1.175073197024336,285041042167.128,40530612.4603838,-6.300956850584999e-05,-0.032763820850170156,-6000313.817919439,0.13611417594710445,0.140459207789482,0.04444968019374177,0.04690760954178388,0.09102080222830132,4.9999999999999645,1.0,0,-2.833333333333334,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,0.0,,
phase_w19.0_low02.5_stop04.0,19.0,0.15,02:30,04:30,01:10,03:00,05:20,02:10,04:40,04:40,0.9998486642840803,1.5,0.8670905804021904,1.175073197024336,285041042167.128,39266261.475337565,-3.2733972876906472e-06,-0.038171572620166794,2259503.6257695635,0.13910044677274694,0.14326061292671521,0.04645804853344181,0.04893501028876843,0.08641711814113434,5.000000000000018,1.0,0,-3.166666666666668,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,0.0,,
phase_w19.0_low02.5_stop04.5,19.0,0.15,02:30,05:00,01:10,03:00,05:40,02:10,05:00,05:00,0.9998486642840803,2.0,0.8670905804021904,1.175073197024336,285041042167.128,38284440.90396267,0.0,-0.038332481991398715,13126347.007187989,0.14125145224379718,0.14527516144725042,0.047945850898915794,0.050435709612168374,0.08672857247532115,5.000000000000018,1.0,0,-3.5,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,0.0,,
phase_w19.0_low03.0_stop03.5,19.0,0.15,03:00,04:00,01:00,04:30,05:10,03:00,04:50,04:50,2.0,0.5,0.8570549543420314,1.1722861594246758,277750634891.892,40669170.6218487,-0.0005904196950211326,0.007954201805465577,-2546707.5748771657,0.12077350202373655,0.12571767424580688,0.03475535441288986,0.03701446927904943,0.09267522181213396,6.499999999999954,1.0,0,-2.166666666666666,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,0.0,,
phase_w19.0_low03.0_stop04.0,19.0,0.15,03:00,04:30,01:00,04:50,05:30,03:00,05:10,05:10,2.0,1.0,0.8570549543420314,1.1722861594246758,277750634891.892,39425340.05179492,-6.0529817281472326e-05,-0.0014676044397335386,2738370.407274007,0.1269138615597973,0.13147732905637188,0.03841080647787923,0.040718322172746436,0.08817074069737506,5.000000000000018,1.0,0,-2.5,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,10800.0,01:00,05:00
phase_w19.0_low03.0_stop04.5,19.0,0.15,03:00,05:00,01:00,05:10,06:00,03:00,05:30,05:30,2.0,1.5,0.8570549543420314,1.1722861594246758,277750634891.892,38445391.50077963,-3.1376718072696266e-06,-0.006894800200051288,11008297.520467663,0.12938098240283397,0.13380302049970383,0.03990678209035223,0.04223936197201125,0.08341843678674794,5.000000000000018,1.0,0,-3.0,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,32400.0,01:00,05:20
phase_w19.0_low03.5_stop03.5,19.0,0.15,03:30,04:00,01:00,04:30,05:20,03:40,05:20,05:20,2.666666666666666,0.0,0.8451205827253443,1.1687845548381834,272421900666.9721,40740221.049556255,-0.00210553258563185,0.04473368786444487,483253.93089390267,0.11383517620426499,0.11891801346855267,0.030816470727053714,0.032939635566850096,0.0923925485428816,6.99999999999995,1.0,0,-1.6666666666666679,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,21600.0,01:00,05:10
phase_w19.0_low03.5_stop04.0,19.0,0.15,03:30,04:30,01:00,05:00,05:40,03:40,05:30,05:40,2.666666666666666,0.5,0.8451205827253443,1.1687845548381834,272421900666.9721,39516732.04811004,-0.0006003640552582607,0.031276057412915115,2545536.7543677427,0.11454836917466223,0.11960977371320822,0.03115686141550869,0.0333010597565218,0.08810793436459273,6.500000000000023,1.0,0,-2.0,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,32400.0,01:00,05:20
phase_w19.0_low03.5_stop04.5,19.0,0.15,03:30,05:00,01:00,05:20,06:10,03:40,05:50,06:00,2.666666666666666,1.0,0.8451205827253443,1.1687845548381834,272421900666.9721,38543061.4581795,-6.213056127922148e-05,0.02174908290539257,7836612.4179539485,0.12001068041245527,0.12474299872442485,0.03419604365507691,0.03639024568622399,0.08515523782446052,6.499999999999954,1.0,0,-2.5,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,43200.0,01:00,05:30
phase_w19.0_low04.0_stop03.5,19.0,0.15,04:00,04:00,00:50,04:40,05:30,03:50,05:30,05:40,2.9998170533023405,0.0,0.8407787198143788,1.1641416144160748,269347671243.48428,40758716.2599068,-0.0060250759892425025,0.0727797853674299,3461765.7942997813,0.10793377629957314,0.11322854542765869,0.027643572923799067,0.029674978654599626,0.09162637458630342,5.003196850911956,1.0,0,-1.6666934993481703,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,32400.0,01:00,05:20
phase_w19.0_low04.0_stop04.0,19.0,0.15,04:00,04:30,00:50,05:10,05:50,04:10,05:50,06:00,3.3331503866356726,0.0,0.8407787198143788,1.1641416144160748,269347671243.48428,39550403.662623405,-0.002167856663685411,0.05828773799906273,2187131.0136958756,0.11141984064497408,0.11649275233091959,0.02946393505194178,0.03153329329385114,0.0848635145267906,6.499999999999954,1.0,0,-1.6666666666666679,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,43200.0,01:00,05:30
phase_w19.0_low04.0_stop04.5,19.0,0.15,04:00,05:00,00:50,05:30,06:20,04:10,06:10,06:20,3.3331503866356726,0.5,0.8407787198143788,1.1641416144160748,269347671243.48428,38583678.14373571,-0.0006280035300142299,0.04470682992433961,4250933.274032018,0.11149639476541187,0.11659609844618424,0.02944789994265201,0.03153480691367009,0.08464571766718029,6.500000000000023,1.0,0,-2.166666666666668,noticeable_progressive_return,sensitivity_clock_not_ancient_prediction,43200.0,01:00,05:30
