soil_case,turn_mode,usable_firm_width_fraction,swept_turn_width_m,turn_service_s,turn_pockets,service_window_min,far_shore_before_retreat,actually_immobilized,mobile_retreat_candidates,vehicle_turn_capacity,vehicles_returned_bound,vehicles_trapped_bound,no_far_shore_escape_gate,no_vehicle_return_gate
marginal_wet_sand,shoulder_only,1.0,10.0,30.0,9,132.65432098765436,87,10,503,2385,503,10,False,False
marginal_wet_sand,shoulder_only,1.0,10.0,45.0,9,132.65432098765436,87,10,503,1584,503,10,False,False
marginal_wet_sand,shoulder_only,1.0,10.0,60.0,9,132.65432098765436,87,10,503,1188,503,10,False,False
marginal_wet_sand,shoulder_only,1.0,15.0,30.0,6,132.65432098765436,87,10,503,1590,503,10,False,False
marginal_wet_sand,shoulder_only,1.0,15.0,45.0,6,132.65432098765436,87,10,503,1056,503,10,False,False
marginal_wet_sand,shoulder_only,1.0,15.0,60.0,6,132.65432098765436,87,10,503,792,503,10,False,False
marginal_wet_sand,shoulder_only,1.0,20.0,30.0,4,132.65432098765436,87,10,503,1060,503,10,False,False
marginal_wet_sand,shoulder_only,1.0,20.0,45.0,4,132.65432098765436,87,10,503,704,503,10,False,False
marginal_wet_sand,shoulder_only,1.0,20.0,60.0,4,132.65432098765436,87,10,503,528,503,10,False,False
marginal_wet_sand,shoulder_only,0.75,10.0,30.0,6,132.65432098765436,87,10,503,1590,503,10,False,False
marginal_wet_sand,shoulder_only,0.75,10.0,45.0,6,132.65432098765436,87,10,503,1056,503,10,False,False
marginal_wet_sand,shoulder_only,0.75,10.0,60.0,6,132.65432098765436,87,10,503,792,503,10,False,False
marginal_wet_sand,shoulder_only,0.75,15.0,30.0,3,132.65432098765436,87,10,503,795,503,10,False,False
marginal_wet_sand,shoulder_only,0.75,15.0,45.0,3,132.65432098765436,87,10,503,528,503,10,False,False
marginal_wet_sand,shoulder_only,0.75,15.0,60.0,3,132.65432098765436,87,10,503,396,396,117,False,False
marginal_wet_sand,shoulder_only,0.75,20.0,30.0,2,132.65432098765436,87,10,503,530,503,10,False,False
marginal_wet_sand,shoulder_only,0.75,20.0,45.0,2,132.65432098765436,87,10,503,352,352,161,False,False
marginal_wet_sand,shoulder_only,0.75,20.0,60.0,2,132.65432098765436,87,10,503,264,264,249,False,False
marginal_wet_sand,shoulder_only,0.5,10.0,30.0,2,132.65432098765436,87,10,503,530,503,10,False,False
marginal_wet_sand,shoulder_only,0.5,10.0,45.0,2,132.65432098765436,87,10,503,352,352,161,False,False
marginal_wet_sand,shoulder_only,0.5,10.0,60.0,2,132.65432098765436,87,10,503,264,264,249,False,False
marginal_wet_sand,shoulder_only,0.5,15.0,30.0,1,132.65432098765436,87,10,503,265,265,248,False,False
marginal_wet_sand,shoulder_only,0.5,15.0,45.0,1,132.65432098765436,87,10,503,176,176,337,False,False
marginal_wet_sand,shoulder_only,0.5,15.0,60.0,1,132.65432098765436,87,10,503,132,132,381,False,False
marginal_wet_sand,shoulder_only,0.5,20.0,30.0,0,132.65432098765436,87,10,503,0,0,513,False,True
marginal_wet_sand,shoulder_only,0.5,20.0,45.0,0,132.65432098765436,87,10,503,0,0,513,False,True
marginal_wet_sand,shoulder_only,0.5,20.0,60.0,0,132.65432098765436,87,10,503,0,0,513,False,True
marginal_wet_sand,full_width_after_halt,1.0,10.0,30.0,13,132.65432098765436,87,10,503,3445,503,10,False,False
marginal_wet_sand,full_width_after_halt,1.0,10.0,45.0,13,132.65432098765436,87,10,503,2288,503,10,False,False
marginal_wet_sand,full_width_after_halt,1.0,10.0,60.0,13,132.65432098765436,87,10,503,1716,503,10,False,False
marginal_wet_sand,full_width_after_halt,1.0,15.0,30.0,9,132.65432098765436,87,10,503,2385,503,10,False,False
marginal_wet_sand,full_width_after_halt,1.0,15.0,45.0,9,132.65432098765436,87,10,503,1584,503,10,False,False
marginal_wet_sand,full_width_after_halt,1.0,15.0,60.0,9,132.65432098765436,87,10,503,1188,503,10,False,False
marginal_wet_sand,full_width_after_halt,1.0,20.0,30.0,6,132.65432098765436,87,10,503,1590,503,10,False,False
marginal_wet_sand,full_width_after_halt,1.0,20.0,45.0,6,132.65432098765436,87,10,503,1056,503,10,False,False
marginal_wet_sand,full_width_after_halt,1.0,20.0,60.0,6,132.65432098765436,87,10,503,792,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.75,10.0,30.0,9,132.65432098765436,87,10,503,2385,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.75,10.0,45.0,9,132.65432098765436,87,10,503,1584,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.75,10.0,60.0,9,132.65432098765436,87,10,503,1188,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.75,15.0,30.0,6,132.65432098765436,87,10,503,1590,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.75,15.0,45.0,6,132.65432098765436,87,10,503,1056,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.75,15.0,60.0,6,132.65432098765436,87,10,503,792,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.75,20.0,30.0,4,132.65432098765436,87,10,503,1060,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.75,20.0,45.0,4,132.65432098765436,87,10,503,704,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.75,20.0,60.0,4,132.65432098765436,87,10,503,528,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.5,10.0,30.0,6,132.65432098765436,87,10,503,1590,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.5,10.0,45.0,6,132.65432098765436,87,10,503,1056,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.5,10.0,60.0,6,132.65432098765436,87,10,503,792,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.5,15.0,30.0,4,132.65432098765436,87,10,503,1060,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.5,15.0,45.0,4,132.65432098765436,87,10,503,704,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.5,15.0,60.0,4,132.65432098765436,87,10,503,528,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.5,20.0,30.0,2,132.65432098765436,87,10,503,530,503,10,False,False
marginal_wet_sand,full_width_after_halt,0.5,20.0,45.0,2,132.65432098765436,87,10,503,352,352,161,False,False
marginal_wet_sand,full_width_after_halt,0.5,20.0,60.0,2,132.65432098765436,87,10,503,264,264,249,False,False
patchy_sand_over_soft,shoulder_only,1.0,10.0,30.0,9,132.65432098765436,8,18,574,2385,574,18,False,False
patchy_sand_over_soft,shoulder_only,1.0,10.0,45.0,9,132.65432098765436,8,18,574,1584,574,18,False,False
patchy_sand_over_soft,shoulder_only,1.0,10.0,60.0,9,132.65432098765436,8,18,574,1188,574,18,False,False
patchy_sand_over_soft,shoulder_only,1.0,15.0,30.0,6,132.65432098765436,8,18,574,1590,574,18,False,False
patchy_sand_over_soft,shoulder_only,1.0,15.0,45.0,6,132.65432098765436,8,18,574,1056,574,18,False,False
patchy_sand_over_soft,shoulder_only,1.0,15.0,60.0,6,132.65432098765436,8,18,574,792,574,18,False,False
patchy_sand_over_soft,shoulder_only,1.0,20.0,30.0,4,132.65432098765436,8,18,574,1060,574,18,False,False
patchy_sand_over_soft,shoulder_only,1.0,20.0,45.0,4,132.65432098765436,8,18,574,704,574,18,False,False
