soil_case,traffic_case,chosen_chariots,entrants,reached_far_shore,returned_to_origin,immobilized,first_failure_position_m,trapped_at_hydro_closure,outside_at_hydro_closure,first_entry_clock,first_mobility_failure_clock,retreat_recognition_clock,first_return_cue_clock,all_route_closed_clock,mobility_before_return_gate,entrants_before_morning_disturbance_gate,all_600_reach_far_shore,all_mobile_can_retreat,max_in_network,max_queued,immobilized_lane_count,collision_conflict_exposures,compressed_queue_chariot_minutes,crew_horse_interaction_exposure_person_minutes,closest_approach_to_israelite_rear_m,pursuit_contact_proxy,casualties_simulated
firm_sand_control,central_dense,600,600,600,0,0,,0,0,04:00:00,,,05:40:00,06:40:00,False,True,True,True,600,0,0,0,0.0,0.0,0.0,True,False
firm_sand_control,central_dense_high_turnability,600,600,600,0,0,,0,0,04:00:00,,,05:40:00,06:40:00,False,True,True,True,600,0,0,0,0.0,0.0,0.0,True,False
firm_sand_control,central_dense_low_turnability,600,600,600,0,0,,0,0,04:00:00,,,05:40:00,06:40:00,False,True,True,True,600,0,0,0,0.0,0.0,0.0,True,False
firm_sand_control,optimistic_spacing,600,600,600,0,0,,0,0,03:45:00,,,05:40:00,06:40:00,False,True,True,True,600,0,0,0,0.0,0.0,0.0,True,False
firm_sand_control,compressed_disorder,600,600,600,0,0,,0,0,04:15:00,,,05:40:00,06:40:00,False,True,True,True,600,0,0,0,0.0,0.0,242.4999999999991,False,False
firm_sand_control,soft_edge_error_5pct,600,600,0,330,14,0.0,270,0,04:00:00,04:00:00,04:06:00,05:40:00,06:40:00,True,True,False,False,600,256,12,0,32436.333333333332,4254.0,1590.999999999999,False,False
marginal_wet_sand,central_dense,600,600,87,328,10,1000.0,185,0,04:00:00,04:09:15,04:15:15,05:40:00,06:40:00,True,True,False,False,600,175,10,0,9610.25,2834.6666666666665,0.0,True,False
marginal_wet_sand,central_dense_high_turnability,600,600,45,538,3,1000.0,17,0,04:00:00,04:09:15,04:15:15,05:40:00,06:40:00,True,True,False,False,600,14,3,0,304.5,905.0,0.0,True,False
marginal_wet_sand,central_dense_low_turnability,600,600,48,120,12,1000.0,432,0,04:00:00,04:09:15,04:15:15,05:40:00,06:40:00,True,True,False,False,600,420,12,0,18566.5,3414.0,0.0,True,False
marginal_wet_sand,optimistic_spacing,600,600,85,478,4,1000.0,37,0,03:45:00,03:54:10,03:58:10,05:40:00,06:40:00,True,True,False,False,600,33,4,0,2203.8333333333335,1327.3333333333333,0.0,True,False
marginal_wet_sand,compressed_disorder,600,600,8,179,9,1000.0,413,0,04:15:00,04:26:05,04:34:05,05:40:00,06:40:00,True,True,False,False,600,404,9,2,10478.166666666666,2296.1666666666665,242.4999999999991,False,False
marginal_wet_sand,soft_edge_error_5pct,600,600,0,330,14,0.0,270,0,04:00:00,04:00:00,04:06:00,05:40:00,06:40:00,True,True,False,False,600,256,12,0,34506.833333333336,4260.166666666667,1590.999999999999,False,False
patchy_sand_over_soft,central_dense,600,600,8,327,18,1000.0,265,0,04:00:00,04:09:15,04:15:15,05:40:00,06:40:00,True,True,False,False,600,247,12,0,9948.75,4916.666666666667,0.0,True,False
patchy_sand_over_soft,central_dense_high_turnability,600,600,8,537,11,1000.0,55,0,04:00:00,04:09:15,04:15:15,05:40:00,06:40:00,True,True,False,False,600,44,11,0,709.8333333333334,2802.8333333333335,0.0,True,False
patchy_sand_over_soft,central_dense_low_turnability,600,600,4,120,19,1000.0,476,0,04:00:00,04:09:15,04:15:15,05:40:00,06:40:00,True,True,False,False,600,457,12,0,16147.5,5143.0,0.0,True,False
patchy_sand_over_soft,optimistic_spacing,600,600,8,479,17,1000.0,113,0,03:45:00,03:52:30,03:56:30,05:40:00,06:40:00,True,True,False,False,600,96,15,0,2260.9166666666665,4977.666666666667,0.0,True,False
patchy_sand_over_soft,compressed_disorder,600,600,3,179,11,1000.0,418,0,04:15:00,04:26:05,04:34:05,05:40:00,06:40:00,True,True,False,False,600,407,9,2,10514.166666666666,2771.1666666666665,242.4999999999991,False,False
patchy_sand_over_soft,soft_edge_error_5pct,600,600,0,330,14,0.0,270,0,04:00:00,04:00:00,04:06:00,05:40:00,06:40:00,True,True,False,False,600,256,12,0,33996.083333333336,4261.0,1590.999999999999,False,False
